categoria,regiao,estado,mesoregiao,modelo,ano_modelo,is_media,expostos,premio_medio,arrecadacao,freq_inc_roub,inc_roub_relativo,valor_inc_roub,freq_coli,valor_coli,freq_outras,valor_outras,ano
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,29797,24,882,21168,0,0,0,2,4022,1,60,2010
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,32316,37,949,35113,0,0,0,4,45630,5,1810,2011
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,32801,71,990,70290,0,0,0,11,26717,5,511,2012
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,29828,98,1021,100058,0,0,0,15,44054,7,1034,2013
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,27897,64,1003,64192,0,0,0,9,12595,9,1497,2014
Passeio nacional,AC - Acre,AC,VALE DO JURUA,Ford - Fiesta 1.6 8V Flex 5p,Todos,26470,53,970,51410,0,0,0,3,13020,15,1839,2015
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,26877,599,1180,706820,1,0.001669449,24886,56,330126,100,39670,2014
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,28435,652,1005,655260,2,0.003067485,802,59,263276,88,239977,2013
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,23251,506,1012,512072,2,0.003952569,19190,48,270561,78,14149,2015
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,29459,459,886,406674,2,0.004357298,4449,49,242427,36,5358,2012
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,29792,330,932,307560,2,0.006060606,47921,29,87950,17,27447,2010
